nucl	19	        18	        17	        16	        15	        14	        13	        12	        11	        10	        9	        8	        7	        6	        5	        4	        3	        2	        1
G:T	1.653312217	0.903020898	1.597721072	0.923530678	0.807022991	0.963232124	1.01625944	0.26584025	0.711884156	1.521066692	0.694185851	1.043403879	0.52549235	0.898073668	0.716358798	0.839891532	0.537606185	0.282072211	0.689780687
A:C	1.514208159	1.159682815	1.658152541	0.992387533	0.024710323	0.552164002	1.8686911	0.773675684	0.927047872	0.729154118	0.48415093	0.482360483	0.705976348	1.022086513	0.018107063	0.349616508	0.181070971	0.136179168	0.270019825
G:G	1.323358326	1.415685748	1.296737018	1.205954808	0.95239301	0.230357513	1.016250559	0.810035714	1.155940112	0.707528464	1.579071836	0.348976795	0.089927088	0.04966372	0.004546068	0.226670927	0.215301755	0.525028618	0.496472865
U:G	1.536590735	1.27712259	1.268864823	1.219746615	1.064452173	0.779052105	1.24449999	0.988456707	1.53185795	0.718418143	1.73814687	0.416561912	0.128509362	0.071959174	0.054924206	0.226053995	0.311857733	0.134281319	0.060056479
U:T	1.734698905	0.821526176	1.157934409	1.181552961	0.738011252	0.900417256	0.836770787	0.299685354	0.62100718	1.14001417	0.356050082	0.619215107	0.179895816	0.266509558	0.279295225	0.261310401	0.115211807	0.168000344	0.337223457
C:A	1.018630984	0.964947064	2.250415945	1.622197865	0.240529657	0.75614004	1.065079759	0.110193397	1.4293465	0.35333324	0.617817481	0.726931853	0.116486245	0.036677831	0.50126924	0.414700936	0.178570178	0.531452139	0.166382281
C:T	1.671881765	0.968782834	1.073187004	1.086889349	0.647532031	1.014157582	0.863503533	0.305879186	0.448727403	0.904623856	0.432695002	0.5575506	0.137942313	0.072221711	0.327875553	0.242026012	0.043264802	0.135104168	0.440303113
G:A	1.16622155	0.454444131	2.786745287	1.046113038	0.60357013	0.813153469	0.787503713	0.688216641	1.365452127	0.123994188	0.195339521	0.249708488	0.01322757	0.022744096	0.047756641	0.368206347	0.317460049	0.562057357	0.458774127
A:A	1.191602132	1.095411389	2.870906184	1.130955312	0.515958107	0.643922558	1.032247542	0.535596183	1.286750463	0.07797037	0.259177567	0.267506677	0.046859394	0.025188071	0.005241839	0.021754414	0.171770967	0.697036065	0.271959618
A:G	1.478634617	1.082002774	1.295205389	0.744956324	0.976263629	0.491187717	0.927208246	0.602176238	1.037514324	0.304721275	0.820965614	0.03030029	0.036503049	0.059154973	0.025303057	0.155294081	0.100600517	0.217519417	0.027493368
U:C	1.428913939	0.995399409	1.646620387	1.341048155	0.010174614	0.54281779	2.340127222	0.436699042	0.214279635	0.340470548	0.263954537	0.09350449	0.046215969	0.068822052	0.016462872	0.36587133	0.054631234	0.085714515	0.254333541
C:C	1.428913939	1.047816491	1.050709161	1.407539975	0.054046079	0.639614156	2.080996466	0.458455298	0.155528383	0.136908112	0.10261082	0.041691214	0.010531506	0.045811702	0.009880719	0.211364672	0.055185616	0.025314601	0.059633277
avg	1.428913939	1.01548686	1.662766602	1.158572718	0.552888666	0.693851359	1.256594863	0.522909141	0.907111342	0.588183598	0.628680509	0.406475982	0.169797251	0.219909422	0.167251773	0.306896763	0.190210984	0.29164666	0.294369386
